id,timestamp,url,tweet,replies,retweets,quotes,likes
1.31E+18,10/1/2020 0:12,https://twitter.com/JoeBiden/status/1311458807999062016,Last night reinforced why I got into this race: We are in a battle for the soul of this nation — and it’s a battle we must win.,18513,38020,2613,341674
1.31E+18,10/1/2020 0:19,https://twitter.com/JoeBiden/status/1311460711076225024,"We're in Johnstown, Pennsylvania, for the final stop of the Build Back Better Express Tour. Tune in now to watch. https://t.co/WlSuLrlKFI",1342,2067,116,10890
1.31E+18,10/1/2020 1:02,https://twitter.com/JoeBiden/status/1311471391208685568,"Folks, it all comes down to this. We’re just a few hours away from our final end-of-quarter deadline before Election Day — and we need your help to hit our goal.

It’s now or never. Chip in to help us beat Donald Trump: https://t.co/dammrUy8yd",2203,1886,157,10321
1.31E+18,10/1/2020 1:42,https://twitter.com/JoeBiden/status/1311481457307574274,"Last night, I went toe-to-toe with Donald Trump and laid out my vision for a stronger, more inclusive America. Check out a few of the top moments from the first debate: https://t.co/H1WFQIxU6y",9854,6252,796,40014
1.31E+18,10/1/2020 2:00,https://twitter.com/JoeBiden/status/1311485988447936512,"It's safe to say I've gotten to know the hardworking men and women of @Amtrak over the years — I'm proud to stand with them as they face furloughs due to funding cuts.

These essential workers have kept us moving during this pandemic –– now it's time we have their backs. https://t.co/aoaTYZdhoF",2643,4376,167,24917
1.31E+18,10/1/2020 14:40,https://twitter.com/JoeBiden/status/1311677247825211393,"You determine the outcome of this election — not Donald Trump.

Vote: https://t.co/eoxT07uII9",6821,12092,783,65982
1.31E+18,10/1/2020 16:36,https://twitter.com/JoeBiden/status/1311706439795175424,"I paid my taxes.

These folks paid their taxes.

So why didn’t President Trump pay his? https://t.co/gcRWGnWF57",7086,16245,1392,64855
1.31E+18,10/1/2020 17:40,https://twitter.com/JoeBiden/status/1311722546287566857,"On behalf of Jill and our entire family, I want to wish the Korean-American community a happy Chuseok. May your celebrations be filled with laughter, joy, and plenty of good food. 행복한 한가위 보내세요!",2185,15197,1304,132194
1.31E+18,10/1/2020 18:45,https://twitter.com/JoeBiden/status/1311738904068927494,"Jill and I want to wish a very happy birthday to President Carter –– a patriot, a humanitarian, and a friend. Thank you for your tireless dedication to our country and to the world. https://t.co/SrajBmltek",1281,7364,251,66953
1.31E+18,10/1/2020 19:08,https://twitter.com/JoeBiden/status/1311744691776307200,Jill and I wish a happy Mid-Autumn Festival to all those celebrating. We join you in hoping for a future filled with peace and prosperity — and hope your festivities lead to a bountiful harvest in the year ahead.,1726,4648,308,41929
1.31E+18,10/1/2020 20:20,https://twitter.com/JoeBiden/status/1311762811257851906,"Three years ago today, Las Vegas was struck by tragedy when a gunman opened fire on the Route 91 Harvest Festival. It remains the deadliest mass shooting in modern U.S. history.

As we remember those we lost, we must take action to ensure it never happens again.",5248,24127,1074,220883
1.31E+18,10/1/2020 21:10,https://twitter.com/JoeBiden/status/1311775395679809536,"During Filipino American History Month, we celebrate the community's immense contributions to our country — from early immigrants to the millions today, many who serve in the military or as frontline workers. As President, I'll work alongside them to protect the American people.",2182,9718,1101,53695
1.31E+18,10/1/2020 22:35,https://twitter.com/JoeBiden/status/1311796785153802241,"On Native Women's Equal Pay Day, we recognize the hard truth that Native women earn just $0.57 for every dollar a white man makes. It's unacceptable.

A Biden-Harris Administration will stand with women in Indian Country and pass legislation to close the gender wage gap. https://t.co/RstWRwFc2J",1890,3634,230,19998
1.31E+18,10/1/2020 23:18,https://twitter.com/JoeBiden/status/1311807606365790210,"When I first ran for Senate, we put up a billboard that said, “Joe Biden: For all our families.”

It’s a motto that has guided me throughout my career.

It doesn’t matter if you’re a Democrat or Republican—I’ll be a president for all Americans, not just the ones who vote for me.",14005,20997,1876,161615
1.31E+18,10/2/2020 0:40,https://twitter.com/JoeBiden/status/1311828242517680135,"Donald Trump will do everything he can to distract from the fact that because of his failed COVID-19 response:

- Over 200,000 Americans have died
- 26 million are on unemployment
- 1 in 6 small businesses risk permanent closure

We can’t let him.",15244,23727,2314,151356
1.31E+18,10/2/2020 12:45,https://twitter.com/JoeBiden/status/1312010736604979201,Jill and I send our thoughts to President Trump and First Lady Melania Trump for a swift recovery. We will continue to pray for the health and safety of the president and his family.,38801,67484,25836,962577
1.31E+18,10/2/2020 16:22,https://twitter.com/JoeBiden/status/1312065485400346625,"I’m happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands.",27376,134675,21178,909690
1.31E+18,10/2/2020 19:10,https://twitter.com/JoeBiden/status/1312107582975209474,"Tonight, @BarackObama, @KamalaHarris, and @MichaelB4Jordan are hosting a grassroots fundraiser to discuss what's at stake this November and the importance of making your voice heard at the ballot box.

Chip in to reserve your spot: https://t.co/gWU2HX3G9R https://t.co/TiygIszVmE",1868,5746,287,36616
1.31E+18,10/2/2020 20:26,https://twitter.com/JoeBiden/status/1312126818854428673,"I’m delivering remarks from Grand Rapids, Michigan. Tune in. https://t.co/LhZJjc4wIb",2376,3906,373,22702
1.31E+18,10/2/2020 21:56,https://twitter.com/JoeBiden/status/1312149358356303873,"This cannot be a partisan moment.

It must be an American moment.

We have to come together as a nation.",19975,41811,7095,387737
1.31E+18,10/2/2020 23:16,https://twitter.com/JoeBiden/status/1312169490935808000,"We can, we will, and we must come together.",7566,25457,2518,288713
1.31E+18,10/2/2020 23:46,https://twitter.com/JoeBiden/status/1312177040561328129,"I’m running as a Democrat, but I will be an American president. Whether you voted for me or against me, I will represent you.",31409,74685,7536,841072
1.31E+18,10/3/2020 1:42,https://twitter.com/JoeBiden/status/1312206233038974976,"Thank you, Grand Rapids, for a great afternoon. From the virus to the economy, we face immense challenges as a nation. But if we come together and act as one America, we can and will overcome them. https://t.co/eY5FVKRv3K",2282,9061,401,81997
1.31E+18,10/3/2020 2:18,https://twitter.com/JoeBiden/status/1312215292655927296,We have to come together. https://t.co/P8SkE6vkX1,4513,11659,987,70168
1.31E+18,10/3/2020 13:47,https://twitter.com/JoeBiden/status/1312388685309108224,"Be a patriot. Do your part.

Wearing a mask will protect you. But it will also protect those around you — your mom, your dad, your son, your daughter, your neighbor, your co-worker.

Don’t just do it for yourself. Do it for the people you love.",6799,49487,2185,267752
1.31E+18,10/3/2020 18:32,https://twitter.com/JoeBiden/status/1312460408192724992,"One month until Election Day. Let’s do this, America.",30247,118161,8363,1167079
1.31E+18,10/3/2020 19:15,https://twitter.com/JoeBiden/status/1312471229207543809,"It's time we come together.

It's time we see each other as fellow Americans, who don't just live in red states and blue states, but who live in — and love — the United States of America.

That's who we are — and there is nothing we cannot do if we do it together.",7266,23344,1482,148396
1.31E+18,10/3/2020 20:37,https://twitter.com/JoeBiden/status/1312491865095241729,One month until we can call @DrBiden our First Lady-Elect. https://t.co/Yi6wxsonYP,18035,27985,3400,328161
